Layer (type:depth-idx),Input Shape,Output Shape,Kernel Shape
Sequential: 1-1,"[64, 2, 60, 216]","[64, 50]",--
Conv2d: 2-1,"[64, 2, 60, 216]","[64, 24, 55, 211]","[6, 6]"
BatchNorm2d: 2-2,"[64, 24, 55, 211]","[64, 24, 55, 211]",--
ReLU: 2-3,"[64, 24, 55, 211]","[64, 24, 55, 211]",--
Dropout: 2-4,"[64, 24, 55, 211]","[64, 24, 55, 211]",--
Sequential: 1-2,"[64, 24, 55, 211]","[64, 24, 50, 206]",--
Conv2d: 2-5,"[64, 24, 55, 211]","[64, 24, 50, 206]","[6, 6]"
BatchNorm2d: 2-6,"[64, 24, 50, 206]","[64, 24, 50, 206]",--
LeakyReLU: 2-7,"[64, 24, 50, 206]","[64, 24, 50, 206]",--
Dropout: 2-8,"[64, 24, 50, 206]","[64, 24, 50, 206]",--
Sequential: 1-3,"[64, 24, 50, 206]","[64, 48, 23, 101]",--
Conv2d: 2-9,"[64, 24, 50, 206]","[64, 48, 23, 101]","[5, 5]"
BatchNorm2d: 2-10,"[64, 48, 23, 101]","[64, 48, 23, 101]",--
LeakyReLU: 2-11,"[64, 48, 23, 101]","[64, 48, 23, 101]",--
Dropout: 2-12,"[64, 48, 23, 101]","[64, 48, 23, 101]",--
Sequential: 1-4,"[64, 48, 23, 101]","[64, 48, 10, 49]",--
Conv2d: 2-13,"[64, 48, 23, 101]","[64, 48, 10, 49]","[5, 5]"
BatchNorm2d: 2-14,"[64, 48, 10, 49]","[64, 48, 10, 49]",--
LeakyReLU: 2-15,"[64, 48, 10, 49]","[64, 48, 10, 49]",--
Dropout: 2-16,"[64, 48, 10, 49]","[64, 48, 10, 49]",--
Sequential: 1-5,"[64, 48, 10, 49]","[64, 64, 4, 43]",--
Conv2d: 2-17,"[64, 48, 10, 49]","[64, 64, 4, 43]","[4, 4]"
BatchNorm2d: 2-18,"[64, 64, 4, 43]","[64, 64, 4, 43]",--
LeakyReLU: 2-19,"[64, 64, 4, 43]","[64, 64, 4, 43]",--
Dropout: 2-20,"[64, 64, 4, 43]","[64, 64, 4, 43]",--
Sequential: 1-6,"[64, 64, 4, 43]","[64, 64, 4, 43]",--
Conv2d: 2-21,"[64, 64, 4, 43]","[64, 64, 4, 43]","[4, 4]"
BatchNorm2d: 2-22,"[64, 64, 4, 43]","[64, 64, 4, 43]",--
LeakyReLU: 2-23,"[64, 64, 4, 43]","[64, 64, 4, 43]",--
Dropout: 2-24,"[64, 64, 4, 43]","[64, 64, 4, 43]",--
Flatten: 2-25,"[64, 64, 4, 43]","[64, 200]",--
Linear: 2-26,"[64, 10080]","[64, 200]",--
ReLU: 2-27,"[64, 200]","[64, 200]",--
Dropout: 2-28,"[64, 200]","[64, 200]",--
Linear: 2-29,"[64, 200]","[64, 50]",--
